,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code
3,OPERATIONAL,"Limmatstrasse 275, 8005 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116853547162263654545"">A Google User</a>'], 'photo_reference': 'Aap_uED4KFnBaLCyTF1rZ9iwhPquFMbkCm7JD6sGaPmu0UtjB6O2L7PmlXxgX7YXVy4mTHvcFwtx3u075tYrTLrRUqQSyLKXwfRHq16CEDWj9ckDqnz0fYeOHouS99WbKsI2tJF_mwpBz_nekQK-rpzcxiuAfvIy_6fLa368BL4266yHicKd', 'width': 3024}]",ChIJLfvsv3QLkEcR7IWOYf7G-N8,4.1,ChIJLfvsv3QLkEcR7IWOYf7G-N8,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",9,47.3887665,8.5250706,47.39017897989272,8.526498329892721,47.38747932010727,8.523798670107277,True,9GQG+G2 Zürich,8FVC9GQG+G2
17,OPERATIONAL,"Lindenpl. 4, 8048 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Express,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102801470013932015549"">Samuel Vonbank</a>'], 'photo_reference': 'Aap_uEBxApgqUGDh973utb0GAOMJFcTVgE7arH4VSxutkvUBaRa0yrzIMmwGJgRbF_1BGIpHylkQGnKGrE-Qsx9t6fgzmCns7CaER-xS4Ae6bt4RnUD-1G2PznKAIshnDOrSq_NdhXnsslDqUShlQQLzgma-xaQSQTlnf6uOfMrliBzsTsAK', 'width': 3984}]",ChIJK_lNnMgLkEcRD55AmaRKXCI,4.1,ChIJK_lNnMgLkEcRD55AmaRKXCI,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",80,47.3871733,8.4859919,47.38853362989272,8.48734342989272,47.38583397010728,8.484643770107276,True,9FPP+WC Zürich,8FVC9FPP+WC
5,OPERATIONAL,"Molkenstrasse 8, 8004 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Express,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118115080819670871640"">Sacha Leu</a>'], 'photo_reference': 'Aap_uEBiIQye9SnAAZBrUS2BTuZgVrXJktkQ22B9CHwwJuOdx2G-WIKYk6uRwCqWiGzyfSEsexza36leSV8rc5_jU1l81z1pepDriZzOoHRW-YPTZCldWF-EUIx1w6yJ28Y8yg5UZKjOynCc6QmvsSyLQSB2UIKEHw9Me-eKuy_CRmDTFiI', 'width': 4000}]",ChIJTf0IiqoLkEcRRaVM1qEWX1M,4.2,ChIJTf0IiqoLkEcRRaVM1qEWX1M,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",57,47.3766288,8.5272297,47.37797367989272,8.528477029892723,47.37527402010728,8.52577737010728,True,9GGG+MV Zürich,8FVC9GGG+MV
6,OPERATIONAL,"Schaffhauserstrasse 11, 8006 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Express,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110804997796190371893"">Raul Weber</a>'], 'photo_reference': 'Aap_uEACUjxMoaGqr0Sl6S-Qbyw5DsiAqCY2tL6ELefeDJVPwx2MfsLFuGUd3Af-YzuL8QMIpZNA7FMKjQRzrIi3emy1Pa7rvCTQTwMHMvU1sO3oLC_F9uqIKdmfnuNOC-pdyBH2i1Brg19nuxYR7LRsHkjWeM1G4VuXkE7hNQDFVSx3woUD', 'width': 3000}]",ChIJfZe8CHMKkEcRMA6P4G2aGlE,4.0,ChIJfZe8CHMKkEcRMA6P4G2aGlE,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",91,47.3888958,8.538895,47.39021372989273,8.540323179892724,47.38751407010729,8.53762352010728,True,9GQQ+HG Zürich,8FVC9GQQ+HG
18,OPERATIONAL,"Schwamendingenstrasse 24, 8050 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100953173491203684119"">Hans Willems</a>'], 'photo_reference': 'Aap_uEDSvHZZlyiCl_btjc-WXeleEwLSE5Z_mrdtb-4xY6ReoSjHNKPTpQ8FIFCvmuGtDxFY0p0kks1r6PuUfVlM3RIBGLwIkxnXlc44CXAfC21JthxSA-26HJmGMehSJi2RHAlcRp43TpomZmqae7gy_YVVtw7uIGhESkKb11hBwbErzgPl', 'width': 2448}]",ChIJP0276IAKkEcR589eQeHUAxM,4.1,ChIJP0276IAKkEcR589eQeHUAxM,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",133,47.40736709999999,8.5484298,47.40877902989271,8.54985072989272,47.40607937010727,8.547151070107276,True,CG4X+W9 Zürich,8FVCCG4X+W9
9,OPERATIONAL,"Sihlhallenstrasse 5/7, 8004 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Express,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101356824588021470209"">Dietrich Kyburz</a>'], 'photo_reference': 'Aap_uEAeqDpaCZRqwKbivgPsC8OWv8HENbAvJvBIbv9ATZUeIwTRE2K7KAP4BkSiPdJjbU5WY6nW2WiPf6rt_DgXOfpY8YyTbGL1_lit86rofIhcBEVBI_j5qWnr04DAfqgvAhHq9ScCGRBfIVWD2LPOha1q1pXbS20DZfvbf_rg-H4OQnx0', 'width': 3024}]",ChIJCQIM2xAKkEcRH42C4KMFF28,4.1,ChIJCQIM2xAKkEcRH42C4KMFF28,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",129,47.37955520000001,8.5270829,47.38092392989272,8.528470129892723,47.37822427010728,8.525770470107279,True,9GHG+RR Zürich,8FVC9GHG+RR
12,OPERATIONAL,"Uetlibergstrasse 102, 8045 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Express,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104488186476167989938"">iñaki Olazabal</a>'], 'photo_reference': 'Aap_uEB5Cp4Vh-4vqq-y4TPG_BP6fEl-GHaOhBnGoMPk7Gcp7LuLYSYdooaLAvy2s70VLTnwlAUhdfpL15QwGz-9HLOruuDrNpbf7LENAY1XKgZW3TP5iMreyUMOcV73SwvK-IeWENT1AioQGaoMPVkoBqCpovv6xq3JfKdBKS9T8ekfLqhv', 'width': 2322}]",ChIJBUtFi-0JkEcRlWnOdXb3uNs,4.2,ChIJBUtFi-0JkEcRlWnOdXb3uNs,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",106,47.36181879999999,8.517764399999999,47.36314457989273,8.51919512989272,47.36044492010728,8.516495470107277,True,9G69+P3 Zürich,8FVC9G69+P3
11,OPERATIONAL,"Wengistrasse 7, 8004 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Express,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112665430431628815107"">Paolo Missoni</a>'], 'photo_reference': 'Aap_uED5V44y9vGZCSj5jXgx14HkUT8uPjq5HFqMpf7IP3tOlD-6Gswy3yNodsIbsGEqKUBNt12mb1OO42LCT_XrFaaGVFkueYRY7oMOO4nHJ4Zfc2D5BhscvxnUAY8-yKgS-SlXI4uzz9DKFEof7OkBElj_2HR-ppwSCR4IJlOd9alHRLCU', 'width': 5312}]",ChIJ_cf9chkKkEcRLEb_m-Msmqw,4.0,ChIJ_cf9chkKkEcRLEb_m-Msmqw,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",169,47.3748965,8.5234468,47.37628167989272,8.52483232989272,47.37358202010728,8.522132670107275,True,9GFF+X9 Zürich,8FVC9GFF+X9
2,OPERATIONAL,"Werdstrasse 36, 8004 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102638846690276599809"">Alberto San Roman</a>'], 'photo_reference': 'Aap_uEC1pGcDXNRMp4YG5VBRKGgfj1MKt9JOi1rgkE40R5XfXbsTUws3HmU1ZhUuvK124mL5XvNw3NmFPMFceVuY1GodP8e1Pfua6GkEW_7GiTdTuZRuJ0rGGOUAWwg8-5ANBx7GTyaKMbaN46xkBcwjh3rKDvCeZpwz8Ec5_1NhkfLvR80l', 'width': 2268}]",ChIJB8PmUBsKkEcRpcwimMi9WBM,4.2,ChIJB8PmUBsKkEcRpcwimMi9WBM,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",240,47.3728157,8.5294178,47.37415252989273,8.530804129892722,47.37145287010728,8.528104470107278,True,9GFH+4V Zürich,8FVC9GFH+4V
10,OPERATIONAL,"im OG, Altstetterstrasse 145, 8048 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106341231391377726533"">Hussein Aboelseoud</a>'], 'photo_reference': 'Aap_uEDhD9uu0yF-9neFeNXT7J49iGKuN4Ux_MYhnLns6FqDbaOTXJ1620_7RO5KiGomTIoPgLXBxsQ01IV7zspyEXKKmAdNhX44xoVwkR2r4XCSrIOKM27oITapLCXFLF2U4Tb9_Eixvs7atGuldLv_tX_jFq5RJeMyUNx7Kdf-SvBIsN57', 'width': 3024}]",ChIJaftNnMgLkEcRZBKdvF_jL_8,4.3,ChIJaftNnMgLkEcRZBKdvF_jL_8,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",57,47.3884662,8.486958999999999,47.38975262989272,8.48821207989272,47.38705297010728,8.485512420107277,True,9FQP+9Q Zürich,8FVC9FQP+9Q
